des: 55.00 | now: 53.74 | du: 0.203 | p_: 00.10 | i_: 00.10
des: 55.00 | now: 53.84 | du: 0.199 | p_: 00.10 | i_: 00.10
des: 55.00 | now: 53.94 | du: 0.196 | p_: 00.10 | i_: 00.10
des: 55.00 | now: 54.04 | du: 0.192 | p_: 00.10 | i_: 00.10
des: 55.00 | now: 54.09 | du: 0.189 | p_: 00.10 | i_: 00.10
des: 55.00 | now: 54.19 | du: 0.187 | p_: 00.10 | i_: 00.10
des: 55.00 | now: 54.25 | du: 0.184 | p_: 00.10 | i_: 00.10
des: 55.00 | now: 54.30 | du: 0.182 | p_: 00.10 | i_: 00.10
des: 55.00 | now: 54.35 | du: 0.179 | p_: 00.10 | i_: 00.10
des: 55.00 | now: 54.40 | du: 0.177 | p_: 00.10 | i_: 00.10
des: 55.00 | now: 54.45 | du: 0.176 | p_: 00.10 | i_: 00.10
des: 55.00 | now: 54.50 | du: 0.174 | p_: 00.10 | i_: 00.10
des: 55.00 | now: 54.50 | du: 0.172 | p_: 00.10 | i_: 00.10
des: 55.00 | now: 54.55 | du: 0.171 | p_: 00.10 | i_: 00.10
des: 55.00 | now: 54.55 | du: 0.169 | p_: 00.10 | i_: 00.10
des: 55.00 | now: 54.60 | du: 0.168 | p_: 00.10 | i_: 00.10
des: 55.00 | now: 54.60 | du: 0.166 | p_: 00.10 | i_: 00.10
des: 55.00 | now: 54.65 | du: 0.165 | p_: 00.10 | i_: 00.10
des: 55.50 | now: 54.65 | du: 0.161 | p_: 00.10 | i_: 00.10
des: 55.50 | now: 54.78 | du: 0.159 | p_: 00.10 | i_: 00.10
des: 55.50 | now: 54.78 | du: 0.156 | p_: 00.10 | i_: 00.10
des: 55.50 | now: 54.83 | du: 0.154 | p_: 00.10 | i_: 00.10
des: 55.50 | now: 54.86 | du: 0.152 | p_: 00.10 | i_: 00.10
des: 55.50 | now: 54.91 | du: 0.150 | p_: 00.10 | i_: 00.10
des: 55.50 | now: 54.96 | du: 0.148 | p_: 00.10 | i_: 00.10
des: 55.50 | now: 54.98 | du: 0.146 | p_: 00.10 | i_: 00.10
des: 55.50 | now: 54.98 | du: 0.144 | p_: 00.10 | i_: 00.10
des: 55.50 | now: 55.01 | du: 0.143 | p_: 00.10 | i_: 00.10
des: 55.50 | now: 55.06 | du: 0.141 | p_: 00.10 | i_: 00.10
des: 55.50 | now: 55.06 | du: 0.140 | p_: 00.10 | i_: 00.10
des: 55.50 | now: 55.11 | du: 0.138 | p_: 00.10 | i_: 00.10
des: 55.50 | now: 55.14 | du: 0.137 | p_: 00.10 | i_: 00.10
des: 55.50 | now: 55.11 | du: 0.136 | p_: 00.10 | i_: 00.10
des: 55.50 | now: 55.16 | du: 0.135 | p_: 00.10 | i_: 00.10
des: 55.50 | now: 55.19 | du: 0.134 | p_: 00.10 | i_: 00.10
des: 55.50 | now: 55.21 | du: 0.133 | p_: 00.10 | i_: 00.10
des: 55.50 | now: 55.21 | du: 0.132 | p_: 00.10 | i_: 00.10
des: 55.50 | now: 55.21 | du: 0.131 | p_: 00.10 | i_: 00.10
des: 55.50 | now: 55.24 | du: 0.130 | p_: 00.10 | i_: 00.10
des: 55.50 | now: 55.26 | du: 0.129 | p_: 00.10 | i_: 00.10
des: 55.50 | now: 55.26 | du: 0.128 | p_: 00.10 | i_: 00.10
des: 55.50 | now: 55.26 | du: 0.127 | p_: 00.10 | i_: 00.10
des: 55.50 | now: 55.29 | du: 0.127 | p_: 00.10 | i_: 00.10
des: 55.50 | now: 55.26 | du: 0.126 | p_: 00.10 | i_: 00.10
des: 55.50 | now: 55.31 | du: 0.125 | p_: 00.10 | i_: 00.10
des: 55.50 | now: 55.31 | du: 0.124 | p_: 00.10 | i_: 00.10
des: 55.50 | now: 55.31 | du: 0.124 | p_: 00.10 | i_: 00.10
des: 55.50 | now: 55.31 | du: 0.123 | p_: 00.10 | i_: 00.10
des: 55.50 | now: 55.34 | du: 0.123 | p_: 00.10 | i_: 00.10
des: 55.50 | now: 55.37 | du: 0.122 | p_: 00.10 | i_: 00.10
des: 55.50 | now: 55.37 | du: 0.122 | p_: 00.10 | i_: 00.10
des: 55.00 | now: 55.37 | du: 0.124 | p_: 00.10 | i_: 00.10
des: 55.00 | now: 55.31 | du: 0.125 | p_: 00.10 | i_: 00.10
des: 55.00 | now: 55.31 | du: 0.126 | p_: 00.10 | i_: 00.10
des: 55.00 | now: 55.31 | du: 0.127 | p_: 00.10 | i_: 00.10
des: 55.00 | now: 55.26 | du: 0.128 | p_: 00.10 | i_: 00.10
des: 55.00 | now: 55.26 | du: 0.129 | p_: 00.10 | i_: 00.10
des: 55.00 | now: 55.26 | du: 0.130 | p_: 00.10 | i_: 00.10
des: 55.00 | now: 55.26 | du: 0.131 | p_: 00.10 | i_: 00.10
des: 55.00 | now: 55.21 | du: 0.131 | p_: 00.10 | i_: 00.10
des: 55.00 | now: 55.21 | du: 0.132 | p_: 00.10 | i_: 00.10
des: 55.00 | now: 55.19 | du: 0.133 | p_: 00.10 | i_: 00.10
des: 55.00 | now: 55.19 | du: 0.133 | p_: 00.10 | i_: 00.10
des: 55.00 | now: 55.21 | du: 0.134 | p_: 00.10 | i_: 00.10
des: 55.00 | now: 55.21 | du: 0.135 | p_: 00.10 | i_: 00.10
des: 55.00 | now: 55.16 | du: 0.135 | p_: 00.10 | i_: 00.10
des: 55.00 | now: 55.16 | du: 0.136 | p_: 00.10 | i_: 00.10
des: 55.00 | now: 55.16 | du: 0.137 | p_: 00.10 | i_: 00.10
des: 55.00 | now: 55.11 | du: 0.137 | p_: 00.10 | i_: 00.10
des: 55.00 | now: 55.16 | du: 0.138 | p_: 00.10 | i_: 00.10
des: 55.00 | now: 55.11 | du: 0.138 | p_: 00.10 | i_: 00.10
des: 55.00 | now: 55.11 | du: 0.138 | p_: 00.10 | i_: 00.10
des: 55.00 | now: 55.11 | du: 0.139 | p_: 00.10 | i_: 00.10
des: 55.00 | now: 55.06 | du: 0.139 | p_: 00.10 | i_: 00.10
des: 55.00 | now: 55.11 | du: 0.139 | p_: 00.10 | i_: 00.10
des: 55.00 | now: 55.11 | du: 0.140 | p_: 00.10 | i_: 00.10
des: 55.00 | now: 55.06 | du: 0.140 | p_: 00.10 | i_: 00.10
des: 55.00 | now: 55.11 | du: 0.140 | p_: 00.10 | i_: 00.10
des: 55.00 | now: 55.06 | du: 0.140 | p_: 00.10 | i_: 00.10
des: 55.00 | now: 55.11 | du: 0.141 | p_: 00.10 | i_: 00.10
des: 55.00 | now: 55.06 | du: 0.141 | p_: 00.10 | i_: 00.10
des: 55.00 | now: 55.06 | du: 0.141 | p_: 00.10 | i_: 00.10
des: 55.00 | now: 55.06 | du: 0.141 | p_: 00.10 | i_: 00.10
des: 55.00 | now: 55.06 | du: 0.142 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 55.06 | du: 0.144 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 55.03 | du: 0.146 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 55.01 | du: 0.148 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 55.01 | du: 0.150 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.91 | du: 0.151 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.91 | du: 0.152 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.86 | du: 0.154 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.86 | du: 0.155 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.86 | du: 0.156 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.86 | du: 0.157 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.83 | du: 0.159 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.81 | du: 0.160 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.81 | du: 0.161 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.75 | du: 0.161 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.78 | du: 0.162 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.75 | du: 0.163 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.73 | du: 0.164 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.70 | du: 0.165 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.68 | du: 0.165 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.68 | du: 0.166 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.65 | du: 0.166 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.63 | du: 0.167 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.63 | du: 0.167 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.63 | du: 0.168 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.60 | du: 0.168 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.60 | du: 0.168 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.60 | du: 0.169 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.65 | du: 0.169 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.60 | du: 0.170 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.60 | du: 0.170 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.60 | du: 0.170 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.60 | du: 0.171 | p_: 00.10 | i_: 00.10
des: 54.50 | now: 54.58 | du: 0.171 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 54.60 | du: 0.174 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 54.50 | du: 0.176 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 54.50 | du: 0.177 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 54.45 | du: 0.179 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 54.40 | du: 0.180 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 54.37 | du: 0.181 | p_: 00.10 | i_: 00.10
des: 54.00 | now: 54.37 | du: 0.183 | p_: 00.10 | i_: 00.10
